fund_type,quarter,borrowing_pct_gav,source
Other Private Fund,2020Q3,0.048,Tab.2.9
Section 4 Private Equity Fund,2020Q3,0.073,Tab.2.9
Private Equity Fund,2020Q3,0.064,Tab.2.9
Venture Capital Fund,2020Q3,0.008,Tab.2.9
Section 3 Liquidity Fund,2020Q3,0.0,Tab.2.9
Liquidity Fund,2020Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2020Q4,0.455,Tab.2.9
Hedge Fund,2020Q4,0.41,Tab.2.9
Securitized Asset Fund,2020Q4,0.534,Tab.2.9
Real Estate Fund,2020Q4,0.139,Tab.2.9
Other Private Fund,2020Q4,0.05,Tab.2.9
Section 4 Private Equity Fund,2020Q4,0.051,Tab.2.9
Private Equity Fund,2020Q4,0.05,Tab.2.9
Venture Capital Fund,2020Q4,0.005,Tab.2.9
Section 3 Liquidity Fund,2020Q4,0.0,Tab.2.9
Liquidity Fund,2020Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2021Q1,0.452,Tab.2.9
Hedge Fund,2021Q1,0.409,Tab.2.9
Securitized Asset Fund,2021Q1,0.501,Tab.2.9
Real Estate Fund,2021Q1,0.14,Tab.2.9
Other Private Fund,2021Q1,0.049,Tab.2.9
Section 4 Private Equity Fund,2021Q1,0.049,Tab.2.9
Private Equity Fund,2021Q1,0.047,Tab.2.9
Venture Capital Fund,2021Q1,0.005,Tab.2.9
Section 3 Liquidity Fund,2021Q1,0.0,Tab.2.9
Liquidity Fund,2021Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2021Q2,0.456,Tab.2.9
Hedge Fund,2021Q2,0.416,Tab.2.9
Securitized Asset Fund,2021Q2,0.5,Tab.2.9
Real Estate Fund,2021Q2,0.137,Tab.2.9
Other Private Fund,2021Q2,0.041,Tab.2.9
Section 4 Private Equity Fund,2021Q2,0.049,Tab.2.9
Private Equity Fund,2021Q2,0.047,Tab.2.9
Venture Capital Fund,2021Q2,0.005,Tab.2.9
Section 3 Liquidity Fund,2021Q2,0.0,Tab.2.9
Liquidity Fund,2021Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2021Q3,0.446,Tab.2.9
Hedge Fund,2021Q3,0.413,Tab.2.9
Securitized Asset Fund,2021Q3,0.498,Tab.2.9
Real Estate Fund,2021Q3,0.14,Tab.2.9
Other Private Fund,2021Q3,0.039,Tab.2.9
Section 4 Private Equity Fund,2021Q3,0.049,Tab.2.9
Private Equity Fund,2021Q3,0.047,Tab.2.9
Venture Capital Fund,2021Q3,0.005,Tab.2.9
Section 3 Liquidity Fund,2021Q3,0.0,Tab.2.9
Liquidity Fund,2021Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2021Q4,0.455,Tab.2.9
Hedge Fund,2021Q4,0.42,Tab.2.9
Securitized Asset Fund,2021Q4,0.524,Tab.2.9
Real Estate Fund,2021Q4,0.132,Tab.2.9
Other Private Fund,2021Q4,0.035,Tab.2.9
Section 4 Private Equity Fund,2021Q4,0.054,Tab.2.9
Private Equity Fund,2021Q4,0.055,Tab.2.9
Venture Capital Fund,2021Q4,0.007,Tab.2.9
Section 3 Liquidity Fund,2021Q4,0.0,Tab.2.9
Liquidity Fund,2021Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2022Q1,0.432,Tab.2.9
Hedge Fund,2022Q1,0.397,Tab.2.9
Securitized Asset Fund,2022Q1,0.497,Tab.2.9
Real Estate Fund,2022Q1,0.123,Tab.2.9
Other Private Fund,2022Q1,0.036,Tab.2.9
Section 4 Private Equity Fund,2022Q1,0.055,Tab.2.9
Private Equity Fund,2022Q1,0.055,Tab.2.9
Venture Capital Fund,2022Q1,0.007,Tab.2.9
Section 3 Liquidity Fund,2022Q1,0.0,Tab.2.9
Liquidity Fund,2022Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2022Q2,0.433,Tab.2.9
Hedge Fund,2022Q2,0.396,Tab.2.9
Securitized Asset Fund,2022Q2,0.493,Tab.2.9
Real Estate Fund,2022Q2,0.123,Tab.2.9
Other Private Fund,2022Q2,0.035,Tab.2.9
Section 4 Private Equity Fund,2022Q2,0.054,Tab.2.9
Private Equity Fund,2022Q2,0.054,Tab.2.9
Venture Capital Fund,2022Q2,0.007,Tab.2.9
