sector,quarter,amount,table
Custom Computer Programming...,2015Q4,130.0,Tab.10.2
Insurance Agencies and Brokerages,2015Q4,110.0,Tab.10.2
Other Financial Vehicles,2015Q4,67.0,Tab.10.2
Computer Systems Design Services,2015Q4,90.0,Tab.10.2
"All Other Professional,...",2015Q4,123.0,Tab.10.2
Other Computer Related Services,2015Q4,93.0,Tab.10.2
Offices of Physicians,2015Q4,64.0,Tab.10.2
Lessors of Nonresidential Buildings,2015Q4,44.0,Tab.10.2
Engineering Services,2015Q4,55.0,Tab.10.2
Consumer Lending,2015Q4,92.0,Tab.10.2
Natural Gas Distribution,2015Q4,33.0,Tab.10.2
Full-Service Restaurants,2015Q4,102.0,Tab.10.2
Offices of Other Holding Companies,2015Q4,28.0,Tab.10.2
Home Health Care Services,2015Q4,58.0,Tab.10.2
Hotels and Motels,2015Q4,55.0,Tab.10.2
Commercial Banking,2015Q4,75.0,Tab.10.2
Other Activities Related to Real...,2015Q4,33.0,Tab.10.2
Lessors of Residential Buildings...,2015Q4,25.0,Tab.10.2
Offices of Dentists,2015Q4,34.0,Tab.10.2
Real Estate Credit,2015Q4,31.0,Tab.10.2
Marketing Research and Public...,2015Q4,21.0,Tab.10.2
Supermarkets and Other Grocery...,2015Q4,32.0,Tab.10.2
Software Publishers,2016Q4,319.0,Tab.10.2
Computing Infrastructure...,2016Q4,257.0,Tab.10.2
Custom Computer Programming...,2016Q4,148.0,Tab.10.2
Insurance Agencies and Brokerages,2016Q4,136.0,Tab.10.2
Other Financial Vehicles,2016Q4,123.0,Tab.10.2
Computer Systems Design Services,2016Q4,111.0,Tab.10.2
"All Other Professional,...",2016Q4,157.0,Tab.10.2
Other Computer Related Services,2016Q4,127.0,Tab.10.2
Offices of Physicians,2016Q4,78.0,Tab.10.2
Lessors of Nonresidential Buildings,2016Q4,38.0,Tab.10.2
Engineering Services,2016Q4,52.0,Tab.10.2
Consumer Lending,2016Q4,112.0,Tab.10.2
Natural Gas Distribution,2016Q4,33.0,Tab.10.2
Full-Service Restaurants,2016Q4,114.0,Tab.10.2
Offices of Other Holding Companies,2016Q4,59.0,Tab.10.2
Home Health Care Services,2016Q4,55.0,Tab.10.2
Hotels and Motels,2016Q4,79.0,Tab.10.2
Commercial Banking,2016Q4,78.0,Tab.10.2
Other Activities Related to Real...,2016Q4,43.0,Tab.10.2
Lessors of Residential Buildings...,2016Q4,28.0,Tab.10.2
Offices of Dentists,2016Q4,38.0,Tab.10.2
Real Estate Credit,2016Q4,38.0,Tab.10.2
Marketing Research and Public...,2016Q4,28.0,Tab.10.2
Supermarkets and Other Grocery...,2016Q4,41.0,Tab.10.2
Software Publishers,2017Q4,408.0,Tab.10.2
Computing Infrastructure...,2017Q4,328.0,Tab.10.2
Custom Computer Programming...,2017Q4,153.0,Tab.10.2
Insurance Agencies and Brokerages,2017Q4,163.0,Tab.10.2
Other Financial Vehicles,2017Q4,154.0,Tab.10.2
Computer Systems Design Services,2017Q4,140.0,Tab.10.2
"All Other Professional,...",2017Q4,159.0,Tab.10.2
Other Computer Related Services,2017Q4,138.0,Tab.10.2
Offices of Physicians,2017Q4,114.0,Tab.10.2
Lessors of Nonresidential Buildings,2017Q4,34.0,Tab.10.2
Engineering Services,2017Q4,75.0,Tab.10.2
Consumer Lending,2017Q4,109.0,Tab.10.2
Natural Gas Distribution,2017Q4,46.0,Tab.10.2
Full-Service Restaurants,2017Q4,98.0,Tab.10.2
Offices of Other Holding Companies,2017Q4,61.0,Tab.10.2
Home Health Care Services,2017Q4,78.0,Tab.10.2
Hotels and Motels,2017Q4,64.0,Tab.10.2
Commercial Banking,2017Q4,87.0,Tab.10.2
Other Activities Related to Real...,2017Q4,53.0,Tab.10.2
Lessors of Residential Buildings...,2017Q4,22.0,Tab.10.2
Offices of Dentists,2017Q4,60.0,Tab.10.2
Real Estate Credit,2017Q4,29.0,Tab.10.2
Marketing Research and Public...,2017Q4,29.0,Tab.10.2
Supermarkets and Other Grocery...,2017Q4,47.0,Tab.10.2
Software Publishers,2018Q4,510.0,Tab.10.2
Computing Infrastructure...,2018Q4,423.0,Tab.10.2
Custom Computer Programming...,2018Q4,275.0,Tab.10.2
Insurance Agencies and Brokerages,2018Q4,204.0,Tab.10.2
Other Financial Vehicles,2018Q4,196.0,Tab.10.2
Computer Systems Design Services,2018Q4,147.0,Tab.10.2
"All Other Professional,...",2018Q4,213.0,Tab.10.2
Other Computer Related Services,2018Q4,213.0,Tab.10.2
Offices of Physicians,2018Q4,177.0,Tab.10.2
Lessors of Nonresidential Buildings,2018Q4,38.0,Tab.10.2
Engineering Services,2018Q4,64.0,Tab.10.2
Consumer Lending,2018Q4,116.0,Tab.10.2
Natural Gas Distribution,2018Q4,95.0,Tab.10.2
Full-Service Restaurants,2018Q4,146.0,Tab.10.2
Offices of Other Holding Companies,2018Q4,73.0,Tab.10.2
Home Health Care Services,2018Q4,124.0,Tab.10.2
Hotels and Motels,2018Q4,69.0,Tab.10.2
Commercial Banking,2018Q4,88.0,Tab.10.2
Other Activities Related to Real...,2018Q4,122.0,Tab.10.2
Lessors of Residential Buildings...,2018Q4,17.0,Tab.10.2
Offices of Dentists,2018Q4,77.0,Tab.10.2
Real Estate Credit,2018Q4,50.0,Tab.10.2
Marketing Research and Public...,2018Q4,43.0,Tab.10.2
Supermarkets and Other Grocery...,2018Q4,51.0,Tab.10.2
Software Publishers,2019Q4,606.0,Tab.10.2
Computing Infrastructure...,2019Q4,454.0,Tab.10.2
Custom Computer Programming...,2019Q4,360.0,Tab.10.2
Insurance Agencies and Brokerages,2019Q4,260.0,Tab.10.2
Other Financial Vehicles,2019Q4,262.0,Tab.10.2
Computer Systems Design Services,2019Q4,146.0,Tab.10.2
"All Other Professional,...",2019Q4,238.0,Tab.10.2
Other Computer Related Services,2019Q4,228.0,Tab.10.2
Offices of Physicians,2019Q4,204.0,Tab.10.2
Lessors of Nonresidential Buildings,2019Q4,50.0,Tab.10.2
Engineering Services,2019Q4,68.0,Tab.10.2
Consumer Lending,2019Q4,142.0,Tab.10.2
Natural Gas Distribution,2019Q4,43.0,Tab.10.2
Full-Service Restaurants,2019Q4,177.0,Tab.10.2
Offices of Other Holding Companies,2019Q4,67.0,Tab.10.2
Home Health Care Services,2019Q4,118.0,Tab.10.2
Hotels and Motels,2019Q4,82.0,Tab.10.2
Commercial Banking,2019Q4,100.0,Tab.10.2
Other Activities Related to Real...,2019Q4,133.0,Tab.10.2
Lessors of Residential Buildings...,2019Q4,24.0,Tab.10.2
Offices of Dentists,2019Q4,80.0,Tab.10.2
Real Estate Credit,2019Q4,50.0,Tab.10.2
Marketing Research and Public...,2019Q4,53.0,Tab.10.2
Supermarkets and Other Grocery...,2019Q4,34.0,Tab.10.2
Software Publishers,2020Q4,731.0,Tab.10.2
Computing Infrastructure...,2020Q4,493.0,Tab.10.2
Custom Computer Programming...,2020Q4,428.0,Tab.10.2
Insurance Agencies and Brokerages,2020Q4,336.0,Tab.10.2
Other Financial Vehicles,2020Q4,266.0,Tab.10.2
Computer Systems Design Services,2020Q4,193.0,Tab.10.2
"All Other Professional,...",2020Q4,276.0,Tab.10.2
Other Computer Related Services,2020Q4,229.0,Tab.10.2
Offices of Physicians,2020Q4,198.0,Tab.10.2
Lessors of Nonresidential Buildings,2020Q4,45.0,Tab.10.2
Engineering Services,2020Q4,77.0,Tab.10.2
Consumer Lending,2020Q4,143.0,Tab.10.2
Natural Gas Distribution,2020Q4,39.0,Tab.10.2
Full-Service Restaurants,2020Q4,122.0,Tab.10.2
Offices of Other Holding Companies,2020Q4,94.0,Tab.10.2
Home Health Care Services,2020Q4,173.0,Tab.10.2
Hotels and Motels,2020Q4,77.0,Tab.10.2
Commercial Banking,2020Q4,84.0,Tab.10.2
Other Activities Related to Real...,2020Q4,92.0,Tab.10.2
Lessors of Residential Buildings...,2020Q4,35.0,Tab.10.2
Offices of Dentists,2020Q4,112.0,Tab.10.2
Real Estate Credit,2020Q4,42.0,Tab.10.2
Marketing Research and Public...,2020Q4,63.0,Tab.10.2
Supermarkets and Other Grocery...,2020Q4,57.0,Tab.10.2
Software Publishers,2021Q4,1101.0,Tab.10.2
Computing Infrastructure...,2021Q4,579.0,Tab.10.2
Custom Computer Programming...,2021Q4,610.0,Tab.10.2
Insurance Agencies and Brokerages,2021Q4,388.0,Tab.10.2
Other Financial Vehicles,2021Q4,352.0,Tab.10.2
