date,commodity_total,credit_cleared,credit_total,credit_uncleared,cross_currency_cleared,cross_currency_total,cross_currency_uncleared,equity_cleared,equity_total,fx_cleared,fx_total,fx_uncleared,ir_cleared,ir_total,ir_uncleared,ir_cleared_pct,credit_cleared_pct,fx_cleared_pct,cross_currency_cleared_pct,equity_cleared_pct
2022-03-11,,2339.299,5479.845,3140.545,,,,,,1787.633,59585.404,57797.771,256249.794,304282.585,48032.791,0.8421441338813392,0.42689145404660167,0.030001189553065712,,
2022-03-18,,2454.999,5265.004,2810.005,,,,,,1587.598,52929.876,51342.278,253230.468,306204.831,52974.363,0.8269969718407219,0.46628625543304425,0.029994364619331436,,
2022-03-25,,2574.756,5488.959,2914.203,,,,,,1638.065,53727.554,52089.489,250556.416,299500.489,48944.073,0.8365809913585817,0.4690791095360705,0.030488359846048457,,
2022-04-01,,2475.957,5606.807,3130.85,,,,,,1680.825,56145.531,54464.706,255378.276,304264.647,48886.371,0.8393294407286168,0.44159839994492406,0.02993693300362588,,
2022-04-08,,2432.782,5619.306,3186.523,,,,,,1619.182,54172.646,52553.464,255708.74,304466.717,48757.977,0.8398577766383575,0.4329328212416267,0.0298892913593329,,
2022-04-15,,2413.83,5603.534,3189.704,,,,,,1543.676,52466.421,50922.745,257261.053,305954.406,48693.353,0.8408476817294143,0.4307692252781905,0.029422170801396953,,
2022-04-22,,2494.629,5227.453,2732.824,,,,,,1556.449,53861.175,52304.726,256282.244,304693.107,48410.864,0.8411159888825447,0.4772169161540046,0.02889742008041971,,
2022-04-29,,2452.18,5043.362,2591.182,,,,,,1588.664,56133.621,54544.957,254914.962,302829.598,47914.636,0.8417769058360008,0.48621931164171833,0.02830147016526869,,
2022-05-06,,2490.108,5212.585,2722.478,,,,,,1523.809,54351.114,52827.305,245418.445,292641.539,47223.094,0.8386316099848012,0.47771077114330035,0.02803638946572466,,
2022-05-13,,2519.895,5408.598,2888.703,,,,,,1556.101,54133.306,52577.205,244649.74,291907.538,47257.798,0.8381069624861829,0.46590539729519553,0.02874572264254469,,
2022-05-20,,2530.73,5149.756,2619.026,,,,,,1650.87,55277.643,53626.773,245616.253,293075.885,47459.632,0.8380636741914129,0.49142716664634206,0.029865057741336763,,
