exposure,ratio_bucket,month,fund_count,exposure_type
Excluding IRDs,"[5,10)",2015-08,231,GNE
Excluding IRDs,10 or more,2015-08,165,GNE
Including IRDs,"(0,1.5)",2015-09,855,GNE
Including IRDs,"[1.5,3)",2015-09,1039,GNE
Including IRDs,"[3,5)",2015-09,481,GNE
Including IRDs,"[5,10)",2015-09,316,GNE
Including IRDs,10 or more,2015-09,295,GNE
Excluding IRDs,"(0,1.5)",2015-09,1199,GNE
Excluding IRDs,"[1.5,3)",2015-09,1033,GNE
Excluding IRDs,"[3,5)",2015-09,387,GNE
Excluding IRDs,"[5,10)",2015-09,202,GNE
Excluding IRDs,10 or more,2015-09,166,GNE
Including IRDs,"(0,1.5)",2015-10,810,GNE
Including IRDs,"[1.5,3)",2015-10,983,GNE
Including IRDs,"[3,5)",2015-10,532,GNE
Including IRDs,"[5,10)",2015-10,307,GNE
Including IRDs,10 or more,2015-10,321,GNE
Excluding IRDs,"(0,1.5)",2015-10,1091,GNE
Excluding IRDs,"[1.5,3)",2015-10,1038,GNE
Excluding IRDs,"[3,5)",2015-10,384,GNE
Excluding IRDs,"[5,10)",2015-10,260,GNE
Excluding IRDs,10 or more,2015-10,179,GNE
Including IRDs,"(0,1.5)",2015-11,813,GNE
Including IRDs,"[1.5,3)",2015-11,967,GNE
Including IRDs,"[3,5)",2015-11,461,GNE
Including IRDs,"[5,10)",2015-11,392,GNE
Including IRDs,10 or more,2015-11,320,GNE
Excluding IRDs,"(0,1.5)",2015-11,1092,GNE
Excluding IRDs,"[1.5,3)",2015-11,1038,GNE
Excluding IRDs,"[3,5)",2015-11,372,GNE
Excluding IRDs,"[5,10)",2015-11,273,GNE
Excluding IRDs,10 or more,2015-11,177,GNE
Including IRDs,"(0,1.5)",2015-12,825,GNE
Including IRDs,"[1.5,3)",2015-12,1016,GNE
Including IRDs,"[3,5)",2015-12,522,GNE
Including IRDs,"[5,10)",2015-12,301,GNE
Including IRDs,10 or more,2015-12,285,GNE
Excluding IRDs,"(0,1.5)",2015-12,1178,GNE
Excluding IRDs,"[1.5,3)",2015-12,1002,GNE
Excluding IRDs,"[3,5)",2015-12,386,GNE
Excluding IRDs,"[5,10)",2015-12,223,GNE
Excluding IRDs,10 or more,2015-12,159,GNE
Including IRDs,"(0,1.5)",2016-01,866,GNE
Including IRDs,"[1.5,3)",2016-01,907,GNE
Including IRDs,"[3,5)",2016-01,421,GNE
Including IRDs,"[5,10)",2016-01,403,GNE
Including IRDs,10 or more,2016-01,267,GNE
Excluding IRDs,"(0,1.5)",2016-01,1223,GNE
Excluding IRDs,"[1.5,3)",2016-01,864,GNE
Excluding IRDs,"[3,5)",2016-01,403,GNE
Excluding IRDs,"[5,10)",2016-01,214,GNE
Excluding IRDs,10 or more,2016-01,159,GNE
Including IRDs,"(0,1.5)",2016-02,854,GNE
Including IRDs,"[1.5,3)",2016-02,900,GNE
Including IRDs,"[3,5)",2016-02,451,GNE
Including IRDs,"[5,10)",2016-02,381,GNE
Including IRDs,10 or more,2016-02,277,GNE
Excluding IRDs,"(0,1.5)",2016-02,1258,GNE
Excluding IRDs,"[1.5,3)",2016-02,881,GNE
Excluding IRDs,"[3,5)",2016-02,328,GNE
