period,quarter,cumulative_pct,liquidity_type
At most 180 days,2024Q3,0.458,investor_liquidity
At most 365 days,2024Q3,0.573,investor_liquidity
At most 1 day,2024Q4,0.072,investor_liquidity
At most 7 days,2024Q4,0.092,investor_liquidity
At most 30 days,2024Q4,0.185,investor_liquidity
At most 90 days,2024Q4,0.367,investor_liquidity
At most 180 days,2024Q4,0.445,investor_liquidity
At most 365 days,2024Q4,0.571,investor_liquidity
At most 1 day,2025Q1,0.07,investor_liquidity
At most 7 days,2025Q1,0.089,investor_liquidity
At most 30 days,2025Q1,0.191,investor_liquidity
At most 90 days,2025Q1,0.34,investor_liquidity
At most 180 days,2025Q1,0.447,investor_liquidity
At most 365 days,2025Q1,0.57,investor_liquidity
At most 1 day,2013Q1,0.374,portfolio_liquidity
At most 7 days,2013Q1,0.618,portfolio_liquidity
At most 30 days,2013Q1,0.773,portfolio_liquidity
At most 90 days,2013Q1,0.844,portfolio_liquidity
At most 180 days,2013Q1,0.88,portfolio_liquidity
At most 365 days,2013Q1,0.917,portfolio_liquidity
At most 1 day,2013Q2,0.381,portfolio_liquidity
At most 7 days,2013Q2,0.62,portfolio_liquidity
At most 30 days,2013Q2,0.774,portfolio_liquidity
At most 90 days,2013Q2,0.846,portfolio_liquidity
At most 180 days,2013Q2,0.88,portfolio_liquidity
At most 365 days,2013Q2,0.917,portfolio_liquidity
At most 1 day,2013Q3,0.378,portfolio_liquidity
At most 7 days,2013Q3,0.616,portfolio_liquidity
At most 30 days,2013Q3,0.774,portfolio_liquidity
At most 90 days,2013Q3,0.845,portfolio_liquidity
At most 180 days,2013Q3,0.882,portfolio_liquidity
At most 365 days,2013Q3,0.918,portfolio_liquidity
At most 1 day,2013Q4,0.39,portfolio_liquidity
At most 7 days,2013Q4,0.629,portfolio_liquidity
At most 30 days,2013Q4,0.784,portfolio_liquidity
At most 90 days,2013Q4,0.855,portfolio_liquidity
At most 180 days,2013Q4,0.889,portfolio_liquidity
At most 365 days,2013Q4,0.922,portfolio_liquidity
At most 1 day,2014Q1,0.397,portfolio_liquidity
At most 7 days,2014Q1,0.637,portfolio_liquidity
At most 30 days,2014Q1,0.787,portfolio_liquidity
At most 90 days,2014Q1,0.853,portfolio_liquidity
At most 180 days,2014Q1,0.889,portfolio_liquidity
At most 365 days,2014Q1,0.92,portfolio_liquidity
At most 1 day,2014Q2,0.399,portfolio_liquidity
At most 7 days,2014Q2,0.637,portfolio_liquidity
At most 30 days,2014Q2,0.784,portfolio_liquidity
At most 90 days,2014Q2,0.851,portfolio_liquidity
At most 180 days,2014Q2,0.887,portfolio_liquidity
At most 365 days,2014Q2,0.921,portfolio_liquidity
At most 1 day,2014Q3,0.4,portfolio_liquidity
At most 7 days,2014Q3,0.637,portfolio_liquidity
At most 30 days,2014Q3,0.784,portfolio_liquidity
At most 90 days,2014Q3,0.855,portfolio_liquidity
At most 180 days,2014Q3,0.894,portfolio_liquidity
At most 365 days,2014Q3,0.924,portfolio_liquidity
At most 1 day,2014Q4,0.399,portfolio_liquidity
At most 7 days,2014Q4,0.628,portfolio_liquidity
At most 30 days,2014Q4,0.779,portfolio_liquidity
At most 90 days,2014Q4,0.857,portfolio_liquidity
At most 180 days,2014Q4,0.895,portfolio_liquidity
At most 365 days,2014Q4,0.924,portfolio_liquidity
At most 1 day,2015Q1,0.401,portfolio_liquidity
At most 7 days,2015Q1,0.637,portfolio_liquidity
At most 30 days,2015Q1,0.783,portfolio_liquidity
At most 90 days,2015Q1,0.858,portfolio_liquidity
At most 180 days,2015Q1,0.894,portfolio_liquidity
At most 365 days,2015Q1,0.925,portfolio_liquidity
At most 1 day,2015Q2,0.397,portfolio_liquidity
At most 7 days,2015Q2,0.632,portfolio_liquidity
At most 30 days,2015Q2,0.774,portfolio_liquidity
At most 90 days,2015Q2,0.85,portfolio_liquidity
At most 180 days,2015Q2,0.886,portfolio_liquidity
At most 365 days,2015Q2,0.919,portfolio_liquidity
At most 1 day,2015Q3,0.41,portfolio_liquidity
At most 7 days,2015Q3,0.637,portfolio_liquidity
At most 30 days,2015Q3,0.771,portfolio_liquidity
At most 90 days,2015Q3,0.843,portfolio_liquidity
At most 180 days,2015Q3,0.878,portfolio_liquidity
At most 365 days,2015Q3,0.913,portfolio_liquidity
At most 1 day,2015Q4,0.402,portfolio_liquidity
At most 7 days,2015Q4,0.633,portfolio_liquidity
At most 30 days,2015Q4,0.766,portfolio_liquidity
At most 90 days,2015Q4,0.834,portfolio_liquidity
At most 180 days,2015Q4,0.87,portfolio_liquidity
At most 365 days,2015Q4,0.905,portfolio_liquidity
At most 1 day,2016Q1,0.408,portfolio_liquidity
At most 7 days,2016Q1,0.644,portfolio_liquidity
At most 30 days,2016Q1,0.77,portfolio_liquidity
At most 90 days,2016Q1,0.831,portfolio_liquidity
At most 180 days,2016Q1,0.865,portfolio_liquidity
At most 365 days,2016Q1,0.901,portfolio_liquidity
At most 1 day,2016Q2,0.408,portfolio_liquidity
At most 7 days,2016Q2,0.64,portfolio_liquidity
At most 30 days,2016Q2,0.766,portfolio_liquidity
At most 90 days,2016Q2,0.825,portfolio_liquidity
At most 180 days,2016Q2,0.862,portfolio_liquidity
At most 365 days,2016Q2,0.899,portfolio_liquidity
At most 1 day,2016Q3,0.394,portfolio_liquidity
At most 7 days,2016Q3,0.628,portfolio_liquidity
At most 30 days,2016Q3,0.761,portfolio_liquidity
At most 90 days,2016Q3,0.825,portfolio_liquidity
At most 180 days,2016Q3,0.859,portfolio_liquidity
At most 365 days,2016Q3,0.896,portfolio_liquidity
At most 1 day,2016Q4,0.396,portfolio_liquidity
At most 7 days,2016Q4,0.625,portfolio_liquidity
At most 30 days,2016Q4,0.756,portfolio_liquidity
At most 90 days,2016Q4,0.818,portfolio_liquidity
At most 180 days,2016Q4,0.853,portfolio_liquidity
At most 365 days,2016Q4,0.891,portfolio_liquidity
At most 1 day,2017Q1,0.38,portfolio_liquidity
At most 7 days,2017Q1,0.611,portfolio_liquidity
At most 30 days,2017Q1,0.754,portfolio_liquidity
At most 90 days,2017Q1,0.814,portfolio_liquidity
At most 180 days,2017Q1,0.851,portfolio_liquidity
At most 365 days,2017Q1,0.891,portfolio_liquidity
At most 1 day,2017Q2,0.381,portfolio_liquidity
At most 7 days,2017Q2,0.617,portfolio_liquidity
At most 30 days,2017Q2,0.756,portfolio_liquidity
At most 90 days,2017Q2,0.817,portfolio_liquidity
At most 180 days,2017Q2,0.852,portfolio_liquidity
At most 365 days,2017Q2,0.89,portfolio_liquidity
At most 1 day,2017Q3,0.377,portfolio_liquidity
At most 7 days,2017Q3,0.615,portfolio_liquidity
At most 30 days,2017Q3,0.755,portfolio_liquidity
At most 90 days,2017Q3,0.819,portfolio_liquidity
At most 180 days,2017Q3,0.853,portfolio_liquidity
At most 365 days,2017Q3,0.889,portfolio_liquidity
At most 1 day,2017Q4,0.38,portfolio_liquidity
At most 7 days,2017Q4,0.618,portfolio_liquidity
At most 30 days,2017Q4,0.753,portfolio_liquidity
At most 90 days,2017Q4,0.816,portfolio_liquidity
At most 180 days,2017Q4,0.851,portfolio_liquidity
At most 365 days,2017Q4,0.889,portfolio_liquidity
At most 1 day,2018Q1,0.388,portfolio_liquidity
At most 7 days,2018Q1,0.621,portfolio_liquidity
At most 30 days,2018Q1,0.75,portfolio_liquidity
At most 90 days,2018Q1,0.814,portfolio_liquidity
At most 180 days,2018Q1,0.848,portfolio_liquidity
At most 365 days,2018Q1,0.887,portfolio_liquidity
At most 1 day,2018Q2,0.389,portfolio_liquidity
At most 7 days,2018Q2,0.621,portfolio_liquidity
At most 30 days,2018Q2,0.749,portfolio_liquidity
At most 90 days,2018Q2,0.812,portfolio_liquidity
At most 180 days,2018Q2,0.847,portfolio_liquidity
At most 365 days,2018Q2,0.889,portfolio_liquidity
At most 1 day,2018Q3,0.387,portfolio_liquidity
At most 7 days,2018Q3,0.619,portfolio_liquidity
At most 30 days,2018Q3,0.749,portfolio_liquidity
At most 90 days,2018Q3,0.808,portfolio_liquidity
At most 180 days,2018Q3,0.842,portfolio_liquidity
At most 365 days,2018Q3,0.882,portfolio_liquidity
At most 1 day,2018Q4,0.393,portfolio_liquidity
At most 7 days,2018Q4,0.612,portfolio_liquidity
At most 30 days,2018Q4,0.737,portfolio_liquidity
At most 90 days,2018Q4,0.794,portfolio_liquidity
At most 180 days,2018Q4,0.829,portfolio_liquidity
At most 365 days,2018Q4,0.868,portfolio_liquidity
At most 1 day,2019Q1,0.37,portfolio_liquidity
At most 7 days,2019Q1,0.603,portfolio_liquidity
At most 30 days,2019Q1,0.73,portfolio_liquidity
At most 90 days,2019Q1,0.79,portfolio_liquidity
At most 180 days,2019Q1,0.827,portfolio_liquidity
At most 365 days,2019Q1,0.867,portfolio_liquidity
At most 1 day,2019Q2,0.363,portfolio_liquidity
At most 7 days,2019Q2,0.599,portfolio_liquidity
At most 30 days,2019Q2,0.724,portfolio_liquidity
At most 90 days,2019Q2,0.786,portfolio_liquidity
At most 180 days,2019Q2,0.823,portfolio_liquidity
At most 365 days,2019Q2,0.864,portfolio_liquidity
At most 1 day,2019Q3,0.359,portfolio_liquidity
At most 7 days,2019Q3,0.587,portfolio_liquidity
At most 30 days,2019Q3,0.714,portfolio_liquidity
At most 90 days,2019Q3,0.778,portfolio_liquidity
At most 180 days,2019Q3,0.817,portfolio_liquidity
