fund_universe,country,quarter,share,table
Qualifying Hedge Funds,Bermuda,2016Q2,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2016Q2,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2016Q2,0.341,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2016Q2,,Tab.3.1
Section 4 Private Equity Funds,United States,2016Q2,0.62,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2016Q2,0.303,Tab.3.1
Section 4 Private Equity Funds,Canada,2016Q2,0.012,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2016Q2,0.026,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2016Q2,0.013,Tab.3.1
Section 4 Private Equity Funds,Other,2016Q2,0.026,Tab.3.1
All Private Funds,United States,2016Q3,0.508,Tab.3.1
All Private Funds,Cayman Islands,2016Q3,0.371,Tab.3.1
All Private Funds,Luxembourg,2016Q3,0.015,Tab.3.1
All Private Funds,Ireland,2016Q3,0.039,Tab.3.1
All Private Funds,Bermuda,2016Q3,0.012,Tab.3.1
All Private Funds,United Kingdom,2016Q3,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2016Q3,0.023,Tab.3.1
All Private Funds,Other,2016Q3,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2016Q3,0.537,Tab.3.1
Qualifying Hedge Funds,United States,2016Q3,0.338,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2016Q3,0.013,Tab.3.1
Qualifying Hedge Funds,Ireland,2016Q3,0.026,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2016Q3,0.055,Tab.3.1
Qualifying Hedge Funds,Bermuda,2016Q3,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2016Q3,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2016Q3,0.34,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2016Q3,,Tab.3.1
Section 4 Private Equity Funds,United States,2016Q3,0.62,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2016Q3,0.303,Tab.3.1
Section 4 Private Equity Funds,Canada,2016Q3,0.012,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2016Q3,0.026,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2016Q3,0.013,Tab.3.1
Section 4 Private Equity Funds,Other,2016Q3,0.027,Tab.3.1
All Private Funds,United States,2016Q4,0.513,Tab.3.1
All Private Funds,Cayman Islands,2016Q4,0.364,Tab.3.1
All Private Funds,Luxembourg,2016Q4,0.014,Tab.3.1
All Private Funds,Ireland,2016Q4,0.043,Tab.3.1
All Private Funds,Bermuda,2016Q4,0.013,Tab.3.1
All Private Funds,United Kingdom,2016Q4,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2016Q4,0.022,Tab.3.1
All Private Funds,Other,2016Q4,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2016Q4,0.529,Tab.3.1
Qualifying Hedge Funds,United States,2016Q4,0.343,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2016Q4,0.013,Tab.3.1
Qualifying Hedge Funds,Ireland,2016Q4,0.027,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2016Q4,0.055,Tab.3.1
Qualifying Hedge Funds,Bermuda,2016Q4,0.018,Tab.3.1
Qualifying Hedge Funds,Other,2016Q4,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2016Q4,0.33,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2016Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2016Q4,0.638,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2016Q4,0.295,Tab.3.1
Section 4 Private Equity Funds,Canada,2016Q4,0.009,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2016Q4,0.019,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2016Q4,0.011,Tab.3.1
Section 4 Private Equity Funds,Other,2016Q4,0.029,Tab.3.1
All Private Funds,United States,2017Q1,0.514,Tab.3.1
All Private Funds,Cayman Islands,2017Q1,0.364,Tab.3.1
All Private Funds,Luxembourg,2017Q1,0.015,Tab.3.1
All Private Funds,Ireland,2017Q1,0.042,Tab.3.1
All Private Funds,Bermuda,2017Q1,0.013,Tab.3.1
All Private Funds,United Kingdom,2017Q1,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2017Q1,0.022,Tab.3.1
All Private Funds,Other,2017Q1,0.02,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2017Q1,0.526,Tab.3.1
Qualifying Hedge Funds,United States,2017Q1,0.346,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2017Q1,0.014,Tab.3.1
Qualifying Hedge Funds,Ireland,2017Q1,0.027,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2017Q1,0.053,Tab.3.1
Qualifying Hedge Funds,Bermuda,2017Q1,0.017,Tab.3.1
Qualifying Hedge Funds,Other,2017Q1,0.017,Tab.3.1
Section 3 Liquidity Funds,United States,2017Q1,0.338,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2017Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2017Q1,0.638,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2017Q1,0.294,Tab.3.1
