top_n,quarter,nav_share,table,gav_share,borrowing_share,derivative_share
Top 250,2022Q2,0.415,Tab.6.3,0.547,0.831,0.899
Top 250,2022Q3,0.417,Tab.6.3,0.548,0.834,0.899
Top 250,2022Q4,0.413,Tab.6.3,0.552,0.842,0.904
Top 250,2023Q1,0.417,Tab.6.3,0.556,0.85,0.906
Top 250,2023Q2,0.416,Tab.6.3,0.567,0.854,0.906
Top 250,2023Q3,0.419,Tab.6.3,0.58,0.86,0.908
Top 250,2023Q4,0.413,Tab.6.3,0.587,0.869,0.907
Top 250,2024Q1,0.416,Tab.6.3,0.585,0.868,0.909
Top 250,2024Q2,0.419,Tab.6.3,0.589,0.869,0.911
Top 250,2024Q3,0.419,Tab.6.3,0.604,0.88,0.916
Top 250,2024Q4,0.416,Tab.6.3,0.598,0.876,0.909
Top 250,2025Q1,0.416,Tab.6.3,0.611,0.883,0.918
Top 50,2013Q1,0.217,Tab.6.3,0.304,0.555,0.77
Top 50,2013Q2,0.215,Tab.6.3,0.309,0.58,0.724
Top 50,2013Q3,0.211,Tab.6.3,0.301,0.559,0.683
Top 50,2013Q4,0.205,Tab.6.3,0.279,0.531,0.667
Top 50,2014Q1,0.203,Tab.6.3,0.286,0.51,0.645
Top 50,2014Q2,0.202,Tab.6.3,0.286,0.507,0.635
Top 50,2014Q3,0.201,Tab.6.3,0.297,0.519,0.628
Top 50,2014Q4,0.199,Tab.6.3,0.29,0.541,0.613
Top 50,2015Q1,0.208,Tab.6.3,0.304,0.542,0.619
Top 50,2015Q2,0.209,Tab.6.3,0.293,0.533,0.601
Top 50,2015Q3,0.206,Tab.6.3,0.304,0.546,0.623
Top 50,2015Q4,0.208,Tab.6.3,0.287,0.524,0.59
Top 50,2016Q1,0.205,Tab.6.3,0.305,0.546,0.604
Top 50,2016Q2,0.204,Tab.6.3,0.313,0.561,0.611
Top 50,2016Q3,0.206,Tab.6.3,0.313,0.567,0.617
Top 50,2016Q4,0.206,Tab.6.3,0.315,0.562,0.604
Top 50,2017Q1,0.202,Tab.6.3,0.322,0.568,0.609
Top 50,2017Q2,0.203,Tab.6.3,0.315,0.575,0.595
Top 50,2017Q3,0.2,Tab.6.3,0.326,0.588,0.617
Top 50,2017Q4,0.202,Tab.6.3,0.318,0.592,0.603
Top 50,2018Q1,0.202,Tab.6.3,0.327,0.601,0.623
Top 50,2018Q2,0.201,Tab.6.3,0.321,0.598,0.623
Top 50,2018Q3,0.201,Tab.6.3,0.33,0.602,0.614
Top 50,2018Q4,0.197,Tab.6.3,0.342,0.631,0.621
Top 50,2019Q1,0.197,Tab.6.3,0.342,0.632,0.631
Top 50,2019Q2,0.198,Tab.6.3,0.338,0.622,0.598
Top 50,2019Q3,0.2,Tab.6.3,0.335,0.62,0.613
Top 50,2019Q4,0.196,Tab.6.3,0.333,0.624,0.601
Top 50,2020Q1,0.201,Tab.6.3,0.346,0.635,0.65
Top 50,2020Q2,0.202,Tab.6.3,0.325,0.626,0.616
Top 50,2020Q3,0.204,Tab.6.3,0.334,0.628,0.662
Top 50,2020Q4,0.199,Tab.6.3,0.325,0.611,0.668
Top 50,2021Q1,0.195,Tab.6.3,0.316,0.598,0.676
Top 50,2021Q2,0.191,Tab.6.3,0.323,0.603,0.673
Top 50,2021Q3,0.194,Tab.6.3,0.336,0.605,0.693
Top 50,2021Q4,0.194,Tab.6.3,0.335,0.616,0.677
Top 50,2022Q1,0.196,Tab.6.3,0.337,0.613,0.678
Top 50,2022Q2,0.195,Tab.6.3,0.342,0.621,0.669
Top 50,2022Q3,0.197,Tab.6.3,0.339,0.623,0.676
Top 50,2022Q4,0.192,Tab.6.3,0.345,0.636,0.684
Top 50,2023Q1,0.194,Tab.6.3,0.349,0.643,0.68
Top 50,2023Q2,0.194,Tab.6.3,0.363,0.648,0.676
Top 50,2023Q3,0.195,Tab.6.3,0.377,0.66,0.675
