strategy,quarter,gav,nav,borrowing
Managed Futures/CTA,2019Q2,88.0,61.0,19.9
Managed Futures/CTA,2019Q3,82.0,56.0,19.8
Managed Futures/CTA,2019Q4,76.0,55.0,18.5
Managed Futures/CTA,2020Q1,71.0,50.0,14.6
Managed Futures/CTA,2020Q2,70.0,50.0,17.4
Managed Futures/CTA,2020Q3,72.0,49.0,20.9
Managed Futures/CTA,2020Q4,71.0,49.0,19.7
Managed Futures/CTA,2021Q1,72.0,48.0,19.2
Managed Futures/CTA,2021Q2,81.0,54.0,21.4
Managed Futures/CTA,2021Q3,91.0,60.0,22.9
Managed Futures/CTA,2021Q4,90.0,63.0,16.9
Managed Futures/CTA,2022Q1,106.0,71.0,15.0
Managed Futures/CTA,2022Q2,139.0,73.0,16.5
Managed Futures/CTA,2022Q3,131.0,80.0,14.0
Managed Futures/CTA,2022Q4,109.0,74.0,14.3
Managed Futures/CTA,2023Q1,133.0,84.0,12.1
Managed Futures/CTA,2023Q2,128.0,83.0,17.1
Managed Futures/CTA,2023Q3,124.0,75.0,18.6
Managed Futures/CTA,2023Q4,91.0,60.0,14.8
Managed Futures/CTA,2024Q1,110.0,59.0,22.1
Managed Futures/CTA,2024Q2,116.0,61.0,24.9
Managed Futures/CTA,2024Q3,132.0,53.0,26.4
Managed Futures/CTA,2024Q4,122.0,66.0,22.5
Managed Futures/CTA,2025Q1,123.0,60.0,21.1
Multi-Strategy,2013Q1,521.0,297.0,6.0
Multi-Strategy,2013Q2,522.0,291.0,5.8
Multi-Strategy,2013Q3,557.0,300.0,7.5
Multi-Strategy,2013Q4,545.0,316.0,5.7
Multi-Strategy,2014Q1,615.0,321.0,6.4
Multi-Strategy,2014Q2,645.0,336.0,6.1
Multi-Strategy,2014Q3,617.0,338.0,7.0
Multi-Strategy,2014Q4,575.0,320.0,5.5
Multi-Strategy,2015Q1,584.0,321.0,5.6
Multi-Strategy,2015Q2,839.0,349.0,7.7
Multi-Strategy,2015Q3,762.0,342.0,7.3
Multi-Strategy,2015Q4,562.0,324.0,6.1
Multi-Strategy,2016Q1,609.0,314.0,7.0
Multi-Strategy,2016Q2,573.0,319.0,7.1
Multi-Strategy,2016Q3,822.0,336.0,10.9
